datetime,sand_temp,sand_wind,sand_vis,sand_ceil
2016-01-05 18:30:00,+0150,0057,016093,00762
2016-01-05 18:51:00,+0150,0082,011265,00762
2016-01-05 19:26:00,+0150,0077,016093,00701
2016-01-05 19:35:00,+0150,0057,016093,00274
2016-01-05 19:44:00,+0160,0077,016093,00701
2016-01-05 19:51:00,+0156,0072,016093,00701
2016-01-05 20:31:00,+0160,0072,008047,00366
2016-01-05 20:48:00,+0150,0077,002816,00366
2016-01-05 20:51:00,+0150,0067,002816,00366
2016-01-05 21:02:00,+0140,0046,003219,00366
2016-01-05 21:08:00,+0140,0057,004828,00366
2016-01-05 21:12:00,+0140,0072,004828,00274
2016-01-05 21:35:00,+0150,0082,002816,00274
2016-01-05 21:40:00,+0150,0077,003219,00274
2016-01-05 21:51:00,+0150,0072,004023,00213
2016-01-05 21:53:00,+0150,0067,002816,00213
2016-01-05 22:02:00,+0150,0057,004828,00213
2016-01-05 22:07:00,+0150,0082,004023,00213
2016-01-05 22:34:00,+0160,0088,004828,00457
2016-01-05 22:51:00,+0161,0082,016093,00457
2016-01-05 23:02:00,+0160,0098,004023,00366
2016-01-05 23:41:00,+0160,0072,004828,00549
2016-01-05 23:51:00,+0161,0072,004828,00488
2016-01-05 23:52:00,+0160,0072,002414,00274
2016-01-05 23:54:00,+0160,0077,001207,00274
2016-01-05 23:59:00,+0140,0041,000402,00274
2016-01-06 00:00:00,+0161,0072,004800,99999
2016-01-06 00:11:00,+0140,0046,000805,00274
2016-01-06 00:24:00,+0140,0036,002414,00518
2016-01-06 00:37:00,+0150,0067,004023,00427
2016-01-06 00:40:00,+0150,0062,008047,00488
2016-01-06 00:49:00,+0150,0046,016093,00488
2016-01-06 00:51:00,+0150,0062,016093,00488
2016-01-06 00:56:00,+0150,0072,016093,01219
2016-01-06 01:51:00,+0150,0062,016093,02134
2016-01-06 02:51:00,+0150,0051,016093,01097
2016-01-06 03:51:00,+0150,0051,016093,22000
2016-01-06 04:51:00,+0144,0036,016093,01036
2016-01-06 05:51:00,+0144,0041,016093,22000
2016-01-06 06:00:00,+0144,0041,016000,99999
2016-01-06 06:51:00,+0144,0046,012875,01981
2016-01-06 07:51:00,+0144,0041,016093,01829
2016-01-06 07:59:00,+9999,9999,999999,99999
2016-01-06 08:51:00,+0144,0062,016093,01524
2016-01-06 09:51:00,+0144,0036,012875,01128
2016-01-06 10:51:00,+0139,0031,016093,01128
2016-01-06 11:51:00,+0139,0041,016093,01524
2016-01-06 12:00:00,+0139,0041,016000,99999
2016-01-06 12:51:00,+0128,0015,016093,01097
2016-01-06 13:51:00,+0139,0000,016093,22000
2016-01-06 14:51:00,+0133,0000,016093,22000
2016-01-06 15:51:00,+0144,0000,016093,22000
2016-01-06 16:20:00,+0140,0026,016093,00457
2016-01-06 16:51:00,+0150,0026,016093,00457
2016-01-06 16:59:00,+0150,0036,016093,00366
2016-01-06 17:25:00,+0150,0000,016093,22000
2016-01-06 17:51:00,+0156,0000,016093,00914
2016-01-06 18:00:00,+0156,0000,016000,99999
2016-01-06 18:29:00,+0150,0031,016093,00762
2016-01-06 18:51:00,+0156,0036,016093,00762
2016-01-06 19:51:00,+0156,0057,016093,00457
2016-01-06 20:51:00,+0161,0062,016093,00457
2016-01-06 21:21:00,+0160,0072,016093,00366
2016-01-06 21:51:00,+0156,0082,012875,00366
2016-01-06 22:17:00,+0150,0088,016093,00701
2016-01-06 22:37:00,+0160,0093,016093,00975
2016-01-06 22:51:00,+0156,0108,014484,00914
2016-01-06 23:10:00,+0150,0103,008047,00914
2016-01-06 23:30:00,+0160,0093,008047,00914
2016-01-06 23:42:00,+0160,0082,004023,00914
2016-01-06 23:51:00,+0156,0098,004023,01372
2016-01-07 00:00:00,+0156,0098,004000,99999
2016-01-07 00:14:00,+0150,0093,003219,00853
2016-01-07 00:23:00,+0130,0062,002012,00579
2016-01-07 00:26:00,+0130,0077,001207,00579
2016-01-07 00:34:00,+0130,0057,004828,00701
2016-01-07 00:45:00,+0130,0041,016093,01341
2016-01-07 00:51:00,+0133,0036,016093,01341
2016-01-07 00:56:00,+0130,0041,016093,00701
2016-01-07 01:29:00,+0120,0021,016093,02438
2016-01-07 01:51:00,+0122,0021,016093,02743
2016-01-07 02:51:00,+0128,0031,016093,02743
2016-01-07 03:51:00,+0122,0015,016093,02591
2016-01-07 04:51:00,+0122,0021,016093,02896
2016-01-07 05:51:00,+0133,0015,016093,02896
2016-01-07 06:00:00,+0133,0015,016000,99999
2016-01-07 06:51:00,+0133,0041,016093,00975
2016-01-07 07:51:00,+0144,0041,016093,02591
2016-01-07 07:59:00,+9999,9999,999999,99999
2016-01-07 08:51:00,+0133,0072,006437,01311
2016-01-07 09:51:00,+0144,0062,016093,01463
2016-01-07 10:51:00,+0144,0077,016093,01676
2016-01-07 11:51:00,+0144,0088,016093,03353
2016-01-07 12:00:00,+0144,0088,016000,99999
